cal_date,cal_val,date_key,dist_val,steps_val,very_val,mod_val,light_val,active_mins
01/25/2019,2216.7399999999698,190125,893249.0,12889.0,70.0,6.0,292.0,368.0
01/24/2019,2555.839999999978,190124,732783.0,10622.0,126.0,12.0,326.0,464.0
01/23/2019,2285.199999999983,190123,1114000.0,15801.0,42.0,22.0,328.0,392.0
01/22/2019,2547.0799999999927,190122,347511.0,4866.0,60.0,92.0,420.0,572.0
01/21/2019,1850.8699999999585,190121,230432.0,3086.0,14.0,4.0,160.0,178.0
01/20/2019,1676.9699999999646,190120,405624.0,5921.0,0.0,0.0,78.0,78.0
01/19/2019,2172.809999999981,190119,342470.0,4999.0,24.0,34.0,326.0,384.0
01/18/2019,1850.6699999999662,190118,223542.0,3263.0,0.0,0.0,218.0,218.0
01/17/2019,2196.8499999999676,190117,591577.0,8216.0,30.0,16.0,292.0,338.0
01/16/2019,2058.6899999999487,190116,406066.0,5855.0,30.0,18.0,228.0,276.0
01/15/2019,1897.1799999999498,190115,345683.0,5046.0,0.0,0.0,256.0,256.0
01/14/2019,2010.8199999999515,190114,289719.0,4229.0,34.0,14.0,178.0,226.0
01/13/2019,1803.7899999999586,190113,274854.0,4012.0,0.0,0.0,192.0,192.0
01/12/2019,2326.579999999988,190112,958262.0,12334.0,32.0,12.0,386.0,430.0
01/11/2019,2567.6199999999913,190111,847438.0,11332.0,46.0,18.0,402.0,466.0
01/10/2019,2206.7799999999706,190110,560047.0,8030.0,18.0,8.0,344.0,370.0
01/09/2019,2191.0099999999725,190109,567363.0,8144.0,56.0,28.0,224.0,308.0
01/08/2019,1709.23999999997,190108,243054.0,3484.0,0.0,0.0,108.0,108.0
01/07/2019,2195.089999999978,190107,635412.0,9073.0,52.0,20.0,268.0,340.0
01/06/2019,2069.009999999958,190106,165040.0,2409.0,32.0,18.0,286.0,336.0
01/05/2019,1782.62999999995,190105,265671.0,3878.0,0.0,0.0,146.0,146.0
01/04/2019,1750.3899999999642,190104,244781.0,3573.0,0.0,0.0,140.0,140.0
01/03/2019,2195.019999999971,190103,514039.0,7435.0,20.0,30.0,386.0,436.0
01/02/2019,2176.059999999974,190102,663065.0,9446.0,70.0,10.0,202.0,282.0
01/01/2019,2004.2299999999648,190101,199923.0,2918.0,0.0,0.0,296.0,296.0
12/31/2018,2080.5899999999547,181231,417217.0,6090.0,0.0,14.0,386.0,400.0
12/30/2018,2105.0699999999642,181230,349723.0,5105.0,0.0,46.0,310.0,356.0
12/29/2018,1685.81999999996,181229,70769.0,1033.0,0.0,0.0,92.0,92.0
12/28/2018,1681.8299999999567,181228,86046.0,1256.0,0.0,0.0,88.0,88.0
12/27/2018,1601.5599999999667,181227,51383.0,750.0,0.0,0.0,28.0,28.0
